starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:50 2021	1635261590	5	1187	1192	1186
Tue Oct 26 20:49:53 2021	1635261593	0	1194	1194	1192
Tue Oct 26 20:49:59 2021	1635261599	0	1196	1196	1195
Tue Oct 26 20:50:00 2021	1635261600	0	1197	1197	1196
Tue Oct 26 20:49:50 2021	1635261590	4	1194	1198	771
Tue Oct 26 20:49:55 2021	1635261595	0	1198	1198	1197
Tue Oct 26 20:49:50 2021	1635261590	5	1195	1200	763
Tue Oct 26 20:49:51 2021	1635261591	0	1200	1200	710
Tue Oct 26 20:49:50 2021	1635261590	4	1196	1200	1195
Tue Oct 26 20:49:56 2021	1635261596	0	1201	1201	1078
Tue Oct 26 20:50:03 2021	1635261603	0	1202	1202	1201
Tue Oct 26 20:49:54 2021	1635261594	0	1202	1202	976
Tue Oct 26 20:49:50 2021	1635261590	5	1198	1203	899
Tue Oct 26 20:50:04 2021	1635261604	0	1204	1205	1204
Tue Oct 26 20:50:04 2021	1635261604	0	1207	1207	1206
Tue Oct 26 20:50:00 2021	1635261600	0	1208	1208	1202
Tue Oct 26 20:49:54 2021	1635261594	1	1208	1210	794
Tue Oct 26 20:49:54 2021	1635261594	1	1209	1210	657
Tue Oct 26 20:50:04 2021	1635261604	0	1213	1213	1173
Tue Oct 26 20:49:55 2021	1635261595	0	1214	1214	986
Tue Oct 26 20:49:57 2021	1635261597	0	1217	1218	863
Tue Oct 26 20:50:03 2021	1635261603	0	1220	1220	1219
Tue Oct 26 20:50:01 2021	1635261601	0	1220	1220	1013
Tue Oct 26 20:49:56 2021	1635261596	0	1225	1225	802
Tue Oct 26 20:49:53 2021	1635261593	0	1226	1226	1223
Tue Oct 26 20:50:02 2021	1635261602	0	1226	1226	1225
Tue Oct 26 20:49:50 2021	1635261590	0	1227	1227	750
Tue Oct 26 20:49:57 2021	1635261597	0	1228	1228	1225
Tue Oct 26 20:50:01 2021	1635261601	0	1231	1231	1231
Tue Oct 26 20:49:52 2021	1635261592	0	1233	1233	1070
Tue Oct 26 20:50:02 2021	1635261602	0	1238	1239	1162
Tue Oct 26 20:49:50 2021	1635261590	0	1238	1239	1171
Tue Oct 26 20:50:00 2021	1635261600	0	1239	1239	1227
Tue Oct 26 20:49:50 2021	1635261590	2	1239	1241	1208
Tue Oct 26 20:50:04 2021	1635261604	0	1242	1242	985
Tue Oct 26 20:50:04 2021	1635261604	0	1244	1244	1197
Tue Oct 26 20:49:54 2021	1635261594	7	1239	1246	1106
Tue Oct 26 20:49:53 2021	1635261593	0	1249	1249	1020
Tue Oct 26 20:49:52 2021	1635261592	0	1249	1249	1236
Tue Oct 26 20:49:53 2021	1635261593	0	1249	1249	913
Tue Oct 26 20:49:54 2021	1635261594	0	1251	1251	1192
Tue Oct 26 20:50:00 2021	1635261600	1	1251	1252	885
Tue Oct 26 20:49:53 2021	1635261593	0	1253	1253	1252
Tue Oct 26 20:50:00 2021	1635261600	0	1255	1255	1254
Tue Oct 26 20:49:51 2021	1635261591	0	1257	1257	909
Tue Oct 26 20:49:53 2021	1635261593	0	1257	1257	1178
Tue Oct 26 20:49:59 2021	1635261599	0	1259	1260	1259
Tue Oct 26 20:50:03 2021	1635261603	0	1263	1263	1214
Tue Oct 26 20:49:54 2021	1635261594	0	1263	1263	1177
Tue Oct 26 20:49:53 2021	1635261593	0	1269	1269	1141
Tue Oct 26 20:49:51 2021	1635261591	0	1270	1270	1072
Tue Oct 26 20:49:50 2021	1635261590	3	1267	1270	623
Tue Oct 26 20:50:01 2021	1635261601	0	1271	1271	984
Tue Oct 26 20:50:00 2021	1635261600	0	1272	1272	1259
Tue Oct 26 20:50:01 2021	1635261601	0	1273	1273	1173
Tue Oct 26 20:49:55 2021	1635261595	1	1273	1273	1267
Tue Oct 26 20:50:00 2021	1635261600	0	1276	1276	848
Tue Oct 26 20:49:56 2021	1635261596	0	1280	1280	1042
Tue Oct 26 20:50:00 2021	1635261600	1	1280	1281	888
